"time (m)",V,Ah
36.613,39.43,0.748501940993789
36.919,39.44,0.7547486490683231
37.009,39.43,0.7565854503105591
37.236,39.43,0.7612182712215322
37.539,39.43,0.7674021687370602
37.658,39.44,0.7698314440993791
37.96,39.43,0.7759949327122155
38.197,39.44,0.7808330693581783
38.314,39.44,0.7832215165631472
38.619,39.43,0.7894462318840582
38.857,39.44,0.7943047826086959
39.161,39.43,0.8005090890269153
39.465,39.43,0.8067133954451348
39.574,39.44,0.808938530020704
39.874,39.43,0.8150612008281576
39.972,39.42,0.8170607660455489
40.157,39.44,0.8208373706004142
40.337,39.44,0.824511904761905
40.645,39.43,0.8307978467908904
40.955,39.43,0.8371246066252589
41.264,39.43,0.843430957556936
41.57,39.43,0.8496760817805384
41.7,39.44,0.8523299120082818
41.947,39.44,0.857372189440994
42.181,39.44,0.8621490838509318
42.485,39.43,0.8683533902691513
42.495,39.44,0.8685575310559007
42.681,39.44,0.872354549689441
42.988,39.43,0.8786200828157351
43.295,39.43,0.8848856159420292
43.305,39.44,0.8850897567287787
43.606,39.43,0.8912328364389236
43.913,39.43,0.8974983695652174
44.217,39.43,0.9037026759834369
44.52,39.43,0.909886573498965
44.729,39.42,0.9141509523809525
45.034,39.43,0.9203756677018634
45.342,39.43,0.9266616097308489
45.65,39.43,0.9329475517598343
45.954,39.43,0.9391518581780538
46.256,39.43,0.9453153467908902
46.565,39.43,0.9516216977225672
46.873,39.43,0.9579076397515527
47.177,39.43,0.9641119461697721
47.264,39.42,0.9658870703933747
47.567,39.43,0.9720709679089027
47.869,39.44,0.9782360196687371
48.175,39.43,0.9844811438923395
48.296,39.44,0.9869512474120083
48.601,39.43,0.9931759627329193
48.728,39.44,0.9957685507246378
48.913,39.44,0.999545155279503
49.22,39.43,1.0058106884057971
49.298,39.44,1.0074029865424432
49.605,39.43,1.0136685196687372
49.907,39.43,1.0198320082815735
50.102,39.44,1.0238127536231885
50.339,39.44,1.0286508902691511
50.489,39.44,1.0317130020703933
50.764,39.44,1.0373268737060042
50.998,39.42,1.0421013457556936
51.304,39.43,1.0483464699792961
51.323,39.44,1.04873433747412
51.629,39.43,1.0549794616977224
51.933,39.43,1.061183768115942
52.235,39.43,1.0673472567287783
52.464,39.44,1.0720220807453413
52.77,39.43,1.078267204968944
53.076,39.43,1.0845123291925463
53.155,39.44,1.0861250414078671
53.319,39.44,1.0894729503105587
53.625,39.43,1.095718074534161
53.684,39.44,1.096922505175983
53.989,39.43,1.103147220496894
54.097,39.42,1.105350822981366
54.401,39.43,1.1115551293995856
54.517,39.44,1.1139231625258796
54.812,39.44,1.1199453157349892
55.116,39.43,1.1261496221532088
55.422,39.43,1.1323947463768111
55.688,39.44,1.1378248913043474
55.996,39.43,1.144110833333333
56.306,39.43,1.1504375931677013
56.384,39.44,1.1520298913043474
56.69,39.43,1.1582750155279498
56.991,39.43,1.1644180952380947
57.295,39.43,1.1706224016563143
57.306,39.44,1.1708469565217385
57.613,39.43,1.1771124896480325
57.822,39.44,1.1813790320910968
57.924,39.43,1.183460740165631
58.227,39.43,1.189644637681159
58.305,39.44,1.191236935817805
58.515,39.44,1.1955238923395441
58.691,39.44,1.199116770186335
58.883,39.44,1.203036273291925
59.187,39.43,1.2092405797101444
59.216,39.44,1.209832587991718
59.363,39.44,1.2128334575569353
59.67,39.43,1.2190989906832292
59.876,39.44,1.2233042908902685
60.183,39.43,1.2295698240165625
60.484,39.43,1.2357129037267074
60.502,39.42,1.2360801708074527
60.805,39.43,1.2422640683229806
61.107,39.43,1.248427556935817
61.137,39.42,1.2490396687370593
61.437,39.43,1.2551623395445126
61.739,39.43,1.261325828157349
62.047,39.43,1.2676117701863345
62.35,39.43,1.2737956677018625
62.565,39.44,1.2781846946169764
62.848,39.44,1.2839618788819867
63.154,39.43,1.2902070031055892
63.457,39.43,1.2963909006211172
63.762,39.43,1.3026156159420281
63.89,39.44,1.3052286180124215
64.193,39.43,1.3114125155279495
64.501,39.43,1.317698457556935
64.608,39.42,1.3198816563146991
64.916,39.43,1.3261675983436845
65.192,39.44,1.3318018840579702
65.496,39.43,1.3380061904761897
65.799,39.43,1.344190087991718
66.106,39.43,1.3504556211180117
66.412,39.43,1.3567007453416144
66.716,39.43,1.3629050517598336
67.019,39.43,1.3690889492753617
67.316,39.42,1.37514885610766
67.433,39.42,1.3775360921325048
67.741,39.43,1.3838220341614902
68.049,39.43,1.3901079761904758
68.178,39.42,1.3927400569358173
68.484,39.43,1.3989851811594196
68.791,39.43,1.4052507142857136
68.892,39.44,1.4073125362318832
68.998,39.44,1.4094764285714279
69.306,39.43,1.4157623706004132
69.561,39.44,1.4209679606625252
69.866,39.43,1.427192675983436
70.094,39.44,1.431847085921324
70.241,39.44,1.4348479554865414
70.55,39.43,1.4411543064182184
70.638,39.44,1.442950745341614
70.781,39.44,1.4458699585921315
70.93,39.44,1.4489116563146989
71.068,39.44,1.4517287991718415
71.314,39.44,1.4567506625258786
71.618,39.43,1.4629549689440982
71.925,39.44,1.4692220910973073
72.182,39.44,1.474468509316769
72.35,39.44,1.4778980745341603
72.655,39.43,1.4841227898550715
72.801,39.44,1.487103245341614
72.948,39.44,1.4901041149068313
73.255,39.43,1.4963696480331252
73.332,39.44,1.4979415320910963
73.501,39.42,1.5013897619047611
73.802,39.43,1.507532841614906
74.105,39.43,1.513716739130434
74.409,39.43,1.5199210455486536
74.718,39.43,1.5262273964803306
75.023,39.43,1.5324521118012413
75.081,39.42,1.5336355279503098
75.387,39.43,1.5398806521739121
75.515,39.42,1.5424923291925456
75.691,39.44,1.5460852070393365
76.001,39.43,1.552411966873705
76.303,39.43,1.5585754554865414
76.606,39.43,1.5647593530020694
76.911,39.43,1.5709840683229805
77.221,39.43,1.5773108281573491
77.252,39.42,1.5779433436852992
77.555,39.43,1.5841272412008274
77.613,39.44,1.5853112577639743
77.917,39.43,1.5915155641821939
78.122,39.42,1.5956983281573491
78.38,39.42,1.6009624896480323
78.684,39.43,1.607166796066252
78.993,39.43,1.6134731469979289
79.294,39.43,1.6196162267080738
79.6,39.43,1.6258613509316762
79.902,39.43,1.6320248395445127
80.05,39.42,1.6350445910973077
80.274,39.42,1.6396150258799165
80.576,39.43,1.6457785144927528
80.884,39.43,1.6520644565217384
81.048,39.44,1.65541236542443
81.358,39.43,1.6617391252587985
81.662,39.43,1.667943431677018
81.967,39.43,1.6741681469979288
82.271,39.43,1.6803724534161484
82.301,39.44,1.6809848757763968
82.607,39.43,1.6872299999999991
82.91,39.43,1.693413897515527
83.183,39.44,1.698986940993788
83.308,39.44,1.7015387008281566
83.613,39.43,1.7077634161490673
83.917,39.43,1.713967722567287
84.223,39.43,1.7202128467908893
84.53,39.43,1.7264783799171832
84.835,39.43,1.732703095238094
85.01,39.42,1.7362737474120071
85.317,39.43,1.7425392805383009
85.624,39.43,1.7488048136645948
85.929,39.43,1.755029528985506
86.239,39.43,1.7613562888198746
86.541,39.43,1.767519777432711
86.607,39.42,1.7688664233954439
86.755,39.42,1.7718861749482389
86.901,39.42,1.7748651190476177
87.206,39.43,1.7810898343685289
87.508,39.43,1.7872533229813652
87.777,39.42,1.7927419254658374
87.965,39.42,1.7965778260869556
88.271,39.43,1.802822950310558
88.38,39.43,1.8050475207039325
88.686,39.43,1.8112926449275353
88.992,39.43,1.8175377691511376
89.12,39.42,1.8201494461697711
89.345,39.42,1.8247402846790879
89.652,39.43,1.8310058178053819
89.682,39.42,1.8316179296066242
89.918,39.42,1.83643320910973
90.215,39.43,1.8424946532091089
90.434,39.42,1.8469630693581771
90.581,39.42,1.8499624171842641
90.787,39.42,1.8541655848861276
90.983,39.42,1.8581647153209102
91.11,39.42,1.8607559886128355
91.414,39.43,1.866960295031055
91.643,39.42,1.8716327484472042
91.758,39.42,1.8739791770186327
92.064,39.43,1.880224301242235
92.193,39.42,1.8828563819875768
92.502,39.43,1.8891627329192537
92.635,39.42,1.8918764285714278
92.896,39.42,1.8972018012422351
93.005,39.42,1.8994258074534152
93.21,39.42,1.9036085714285704
93.347,39.42,1.9064038819875766
93.504,39.42,1.9096072670807445
93.802,39.42,1.9156875776397506
94.094,39.42,1.921645465838508
94.271,39.42,1.9252569254658374
94.573,39.43,1.9314204140786737
94.672,39.42,1.933440383022773
94.978,39.42,1.939683923395444
95.075,39.43,1.9416635869565206
95.242,39.42,1.9450710093167691
95.544,39.43,1.9512344979296055
95.643,39.42,1.9532544668737049
95.91,39.43,1.9587036438923384
