"time (m)",V,Ah
2.94,46.06,0.0709
2.96,46.05,0.07137670807453417
3.01,46.04,0.07256821946169772
3.03,46.03,0.07304472049689441
3.06,46.02,0.07375931677018634
3.1,46.01,0.07471190476190476
3.14,46,0.07566428571428571
3.18,45.99,0.07661645962732919
3.19,45.98,0.07685445134575568
3.25,45.97,0.07828209109730848
3.26,45.96,0.07851997929606624
3.31,45.95,0.07970916149068323
3.33,45.94,0.08018473084886128
3.36,45.93,0.08089792960662526
3.41,45.92,0.08208633540372672
3.43,45.91,0.08256159420289856
3.47,45.9,0.08351190476190477
3.49,45.89,0.08398695652173914
3.53,45.88,0.08493685300207039
3.56,45.87,0.08564912008281574
3.62,45.86,0.0870733436853002
3.64,45.85,0.08754798136645962
3.69,45.84,0.08873431677018633
3.71,45.83,0.08920874741200827
3.75,45.82,0.09015740165631468
3.8,45.81,0.09134296066252585
3.82,45.8,0.09181708074534159
3.85,45.79,0.0925281055900621
3.9,45.78,0.09371288819875774
3.92,45.77,0.09418669772256727
3.96,45.76,0.09513410973084885
4.01,45.75,0.09631811594202896
4.04,45.74,0.09702836438923394
4.09,45.73,0.09821185300207037
4.11,45.72,0.09868514492753622
4.14,45.71,0.09939492753623186
4.19,45.7,0.10057763975155279
4.2,45.69,0.1008141304347826
4.26,45.68,0.10223276397515527
4.29,45.67,0.1029419254658385
4.35,45.66,0.10435993788819874
4.36,45.65,0.1045962215320911
4.38,45.64,0.10506868530020703
4.44,45.63,0.10648576604554866
4.46,45.62,0.10695802277432712
4.51,45.61,0.10813840579710143
4.54,45.6,0.10884648033126293
4.6,45.59,0.11026231884057969
4.63,45.58,0.11097008281573498
4.67,45.57,0.11191356107660454
4.73,45.56,0.11332846790890269
4.75,45.55,0.11379999999999998
4.79,45.54,0.11474285714285713
4.82,45.53,0.1154498447204969
4.85,45.52,0.11615667701863353
4.89,45.51,0.11709891304347825
4.96,45.5,0.11874746376811593
4.99,45.49,0.11945383022774327
5.03,45.48,0.12039544513457556
5.06,45.47,0.12110150103519667
5.08,45.46,0.12157210144927535
5.13,45.45,0.1227483436853002
5.17,45.44,0.12368913043478261
5.21,45.43,0.12462971014492753
5.25,45.42,0.12557008281573498
5.29,45.41,0.12651024844720496
5.33,45.4,0.12745020703933746
5.36,45.39,0.12815502070393373
5.4,45.38,0.1290945652173913
5.43,45.37,0.12979906832298135
5.49,45.36,0.13120776397515527
5.53,45.35,0.1321466873706004
5.58,45.34,0.13332008281573496
5.62,45.33,0.13425859213250516
5.65,45.32,0.1349623188405797
5.68,45.31,0.1356658902691511
5.71,45.3,0.13636930641821943
5.76,45.29,0.13754140786749477
5.8,45.28,0.1384788819875776
5.85,45.27,0.13965046583850926
5.88,45.26,0.14035326086956518
5.95,45.25,0.14199275362318836
5.98,45.24,0.14269523809523807
6.03,45.23,0.14386578674948236
6.07,45.22,0.14480201863354034
6.1,45.21,0.1455040372670807
6.16,45.2,0.14690776397515523
6.19,45.19,0.1476094720496894
6.25,45.18,0.1490125776397515
6.28,45.17,0.14971397515527946
