"time (m)",V,Ah
19.96,39.48,0.40915320910973096
20.26,39.48,0.4152836438923397
20.55,39.49,0.42121123188405807
20.68,39.49,0.4238684265010353
20.98,39.48,0.429998861283644
21.29,39.48,0.43633364389233964
21.59,39.48,0.44246407867494836
21.9,39.48,0.448798861283644
22.21,39.48,0.4551336438923397
22.51,39.48,0.4612640786749484
22.81,39.48,0.46739451345755706
22.96,39.47,0.47045895445134595
23.27,39.48,0.4767937370600416
23.57,39.48,0.4829241718426503
23.83,39.47,0.48823586956521753
24.13,39.48,0.49436630434782625
24.44,39.48,0.5007010869565219
24.74,39.48,0.5068315217391306
24.88,39.47,0.5096916666666669
25.19,39.48,0.5160264492753626
25.49,39.48,0.5221568840579712
25.79,39.48,0.5282873188405799
26.09,39.47,0.5344162008281576
26.21,39.47,0.5368677536231886
26.35,39.47,0.5397278985507249
26.48,39.47,0.5423837474120086
26.71,39.47,0.5470825569358181
27.02,39.48,0.5534173395445137
27.05,39.47,0.5540302277432715
27.35,39.47,0.5601591097308491
27.54,39.47,0.5640407349896482
27.84,39.48,0.5701711697722569
28.15,39.47,0.5765043478260871
28.31,39.48,0.5797739130434784
28.61,39.47,0.585902795031056
28.86,39.48,0.5910114906832299
29.16,39.48,0.5971419254658386
29.32,39.48,0.6004114906832299
29.48,39.47,0.6036802277432712
29.78,39.47,0.6098091097308489
29.98,39.48,0.613896066252588
30.25,39.48,0.6194134575569358
30.53,39.48,0.6251351966873706
30.77,39.48,0.6300395445134576
30.9,39.48,0.632696066252588
31.04,39.48,0.6355569358178054
31.35,39.47,0.6418901138716356
31.53,39.48,0.6455683747412009
31.84,39.48,0.6519031573498965
32.04,39.48,0.6559901138716355
32.34,39.47,0.6621189958592133
32.64,39.47,0.6682478778467908
32.95,39.47,0.6745810559006211
32.98,39.48,0.6751940993788819
33.15,39.48,0.6786680124223602
33.3,39.48,0.6817332298136645
33.61,39.47,0.6880664078674947
33.91,39.47,0.6941952898550723
34.22,39.47,0.7005284679089026
34.3,39.48,0.7021632505175982
34.61,39.47,0.7084964285714285
34.76,39.46,0.7115600931677017
34.91,39.48,0.714625310559006
35.04,39.48,0.7172818322981365
35.35,39.47,0.7236150103519667
35.65,39.47,0.7297438923395443
35.79,39.48,0.7326047619047616
36.09,39.47,0.7387336438923394
36.4,39.47,0.7450668219461696
36.47,39.48,0.7464972567287783
36.64,39.48,0.7499711697722566
36.87,39.46,0.7546687888198756
37.17,39.47,0.7607976708074534
37.38,39.48,0.7650889751552795
37.48,39.46,0.7671314182194616
37.78,39.47,0.7732603002070394
38.09,39.48,0.7795950828157351
38.11,39.46,0.7800035714285715
38.41,39.47,0.786132453416149
38.72,39.47,0.7924656314699793
39.01,39.47,0.7983902173913043
39.32,39.47,0.8047233954451346
39.62,39.47,0.8108522774327122
39.77,39.46,0.8139159420289855
40.07,39.47,0.8200448240165631
40.27,39.46,0.8241297101449275
40.58,39.47,0.8304628881987577
40.89,39.47,0.836796066252588
41.19,39.47,0.8429249482401655
41.49,39.47,0.8490538302277433
41.8,39.47,0.8553870082815734
41.84,39.46,0.8562039855072464
42.08,39.46,0.8611058488612836
42.38,39.47,0.8672347308488614
42.69,39.47,0.8735679089026915
42.99,39.47,0.8796967908902693
43.3,39.47,0.8860299689440995
43.47,39.46,0.8895021221532092
43.77,39.47,0.895631004140787
44.05,39.46,0.9013498447204971
44.36,39.47,0.9076830227743273
44.58,39.46,0.9121763975155281
44.89,39.47,0.9185095755693584
44.96,39.46,0.919939285714286
45.15,39.46,0.9238199275362321
45.39,39.46,0.9287217908902694
45.69,39.47,0.934850672877847
45.82,39.46,0.9375058488612839
45.99,39.46,0.9409780020703936
46.21,39.48,0.9454736542443066
46.31,39.46,0.9475160973084888
46.55,39.46,0.952417960662526
46.85,39.47,0.9585468426501038
46.94,39.46,0.9603850414078677
47.07,39.46,0.9630402173913046
47.22,39.46,0.9661038819875779
47.52,39.47,0.9722327639751557
47.55,39.46,0.9728454968944102
47.86,39.47,0.9791786749482405
47.95,39.46,0.9810168737060045
48.22,39.46,0.9865314699792964
48.48,39.46,0.9918418219461701
48.76,39.46,0.9975606625258803
49.04,39.46,1.0032795031055903
49.28,39.46,1.0081813664596277
49.58,39.46,1.0143086956521743
49.74,39.46,1.017576604554866
49.94,39.46,1.0216614906832302
50.24,39.46,1.027788819875777
50.54,39.46,1.0339161490683235
50.84,39.47,1.0400450310559013
50.94,39.46,1.0420874741200834
51.24,39.47,1.0482163561076612
51.47,39.47,1.0529151656314706
51.72,39.46,1.058021273291926
51.96,39.46,1.0629231366459635
52.26,39.46,1.06905046583851
52.3,39.47,1.0698676501035205
52.6,39.47,1.0759965320910982
52.64,39.46,1.076813509316771
52.94,39.46,1.0829408385093175
53.24,39.46,1.0890681677018643
53.54,39.46,1.0951954968944109
53.84,39.46,1.1013228260869576
54.14,39.46,1.1074501552795042
54.16,39.47,1.1078587474120092
54.47,39.46,1.114190320910974
54.71,39.47,1.1190934265010362
55.02,39.47,1.1254266045548664
55.32,39.47,1.131555486542444
55.62,39.46,1.1376828157349905
55.7,39.47,1.1393171842650114
56,39.46,1.145444513457558
56.3,39.46,1.1515718426501045
56.55,39.47,1.156679244306419
56.85,39.46,1.1628065734989659
56.94,39.47,1.164645238095239
57.25,39.46,1.1709768115942039
57.54,39.46,1.176899896480332
57.64,39.47,1.178942857142858
57.95,39.46,1.1852744306418228
58.25,39.46,1.1914017598343694
58.5,39.47,1.196509161490684
58.71,39.47,1.2007993788819884
59.01,39.47,1.206928260869566
59.24,39.47,1.2116270703933756
59.34,39.47,1.2136700310559014
59.64,39.46,1.219797360248448
59.95,39.46,1.2261289337474128
60.25,39.46,1.2322562629399594
60.55,39.46,1.238383592132506
60.63,39.47,1.2400179606625268
60.87,39.47,1.2449210662525887
61.17,39.46,1.2510483954451355
61.23,39.47,1.2522741718426509
61.46,39.47,1.2569729813664605
61.61,39.47,1.2600374223602493
61.91,39.46,1.2661647515527958
62.22,39.46,1.2724963250517607
62.3,39.47,1.2741306935817813
62.55,39.47,1.279238095238096
62.68,39.47,1.2818939440993797
62.89,39.47,1.2861841614906842
63,39.47,1.2884314182194625
63.3,39.46,1.294558747412009
63.56,39.47,1.2998704451345764
63.86,39.46,1.305997774327123
64.16,39.46,1.3121251035196695
64.47,39.46,1.3184566770186343
64.77,39.46,1.3245840062111809
65.05,39.47,1.3303042960662534
65.35,39.46,1.3364316252588
