"time (m)",V,Ah
  0.000, 40.93, 0.0000
  0.010, 40.61, 0.0008
  0.020, 40.53, 0.0016
  0.029, 40.49, 0.0024
  0.039, 40.42, 0.0032
  0.049, 40.39, 0.0041
  0.059, 40.34, 0.0049
  0.069, 40.28, 0.0057
  0.078, 40.26, 0.0064
  0.089, 40.21, 0.0073
  0.099, 40.17, 0.0081
  0.110, 40.14, 0.0090
  0.119, 40.12, 0.0097
  0.129, 40.08, 0.0106
  0.139, 40.05, 0.0114
  0.149, 40.02, 0.0122
  0.158, 40.01, 0.0129
  0.168, 39.98, 0.0137
  0.178, 39.95, 0.0145
  0.187, 39.94, 0.0153
  0.197, 39.92, 0.0161
  0.207, 39.90, 0.0169
  0.217, 39.88, 0.0178
  0.227, 39.86, 0.0185
  0.237, 39.85, 0.0193
  0.247, 39.83, 0.0201
  0.257, 39.81, 0.0210
  0.267, 39.80, 0.0217
  0.277, 39.78, 0.0226
  0.287, 39.76, 0.0234
  0.296, 39.75, 0.0241
  0.307, 39.73, 0.0250
  0.316, 39.72, 0.0257
  0.326, 39.71, 0.0265
  0.336, 39.69, 0.0274
  0.347, 39.68, 0.0282
  0.358, 39.66, 0.0291
  0.368, 39.65, 0.0299
  0.378, 39.64, 0.0307
  0.389, 39.63, 0.0316
  0.399, 39.62, 0.0324
  0.408, 39.61, 0.0332
  0.418, 39.60, 0.0340
  0.429, 39.59, 0.0348
  0.438, 39.58, 0.0356
  0.450, 39.57, 0.0365
  0.461, 39.56, 0.0374
  0.471, 39.55, 0.0382
  0.480, 39.54, 0.0389
  0.490, 39.53, 0.0397
  0.510, 39.52, 0.0413
  0.520, 39.51, 0.0422
  0.530, 39.50, 0.0430
  0.540, 39.49, 0.0438
  0.560, 39.48, 0.0454
  0.570, 39.47, 0.0462
  0.589, 39.46, 0.0476
  0.609, 39.45, 0.0493
  0.620, 39.44, 0.0501
  0.631, 39.43, 0.0510
  0.661, 39.42, 0.0534
  0.682, 39.41, 0.0551
  0.692, 39.40, 0.0559
  0.723, 39.39, 0.0584
  0.733, 39.38, 0.0592
  0.764, 39.37, 0.0617
  0.793, 39.36, 0.0641
  0.814, 39.35, 0.0657
  0.844, 39.34, 0.0681
  0.874, 39.33, 0.0705
  0.885, 39.32, 0.0714
  0.945, 39.31, 0.0761
  0.974, 39.30, 0.0785
  1.014, 39.29, 0.0817
  1.043, 39.28, 0.0840
  1.113, 39.27, 0.0896
  1.144, 39.26, 0.0921
  1.205, 39.25, 0.0969
  1.256, 39.24, 0.1010
  1.304, 39.23, 0.1048
  1.423, 39.22, 0.1143
  1.470, 39.21, 0.1180
  1.601, 39.20, 0.1284
  1.739, 39.19, 0.1395
  1.916, 39.18, 0.1536
  2.179, 39.17, 0.1745
  2.486, 39.17, 0.1990
  2.566, 39.16, 0.2053
  2.863, 39.15, 0.2290
  3.085, 39.16, 0.2467
  3.325, 39.14, 0.2657
  3.632, 39.14, 0.2902
  3.710, 39.15, 0.2964
  4.016, 39.14, 0.3207
  4.320, 39.14, 0.3449
  4.456, 39.13, 0.3557
  4.696, 39.14, 0.3748
  5.003, 39.13, 0.3992
  5.212, 39.12, 0.4158
  5.519, 39.12, 0.4402
  5.823, 39.12, 0.4644
  6.135, 39.12, 0.4892
  6.439, 39.12, 0.5134
  6.749, 39.12, 0.5380
  7.060, 39.12, 0.5627
  7.370, 39.11, 0.5874
  7.675, 39.12, 0.6117
  7.754, 39.11, 0.6179
  8.061, 39.12, 0.6424
  8.279, 39.12, 0.6597
  8.456, 39.10, 0.6737
  8.764, 39.11, 0.6982
  8.982, 39.10, 0.7155
  9.141, 39.10, 0.7282
  9.380, 39.10, 0.7471
  9.558, 39.10, 0.7613
  9.660, 39.11, 0.7695
  9.964, 39.11, 0.7936
 10.270, 39.11, 0.8180
 10.570, 39.10, 0.8418
 10.721, 39.11, 0.8537
 11.028, 39.10, 0.8781
 11.316, 39.11, 0.9010
 11.622, 39.10, 0.9254
 11.931, 39.10, 0.9499
 12.242, 39.10, 0.9747
 12.552, 39.10, 0.9993
 12.861, 39.10, 1.0238
 13.166, 39.10, 1.0481
 13.472, 39.10, 1.0724
 13.775, 39.10, 1.0965
 13.952, 39.09, 1.1105
 14.259, 39.10, 1.1350
 14.520, 39.09, 1.1557
 14.834, 39.09, 1.1806
 15.035, 39.10, 1.1966
 15.350, 39.10, 1.2216
 15.661, 39.09, 1.2463
 15.671, 39.10, 1.2471
 15.980, 39.09, 1.2717
 16.292, 39.09, 1.2965
 16.312, 39.10, 1.2981
 16.590, 39.10, 1.3202
 16.896, 39.09, 1.3445
 17.201, 39.09, 1.3687
 17.511, 39.09, 1.3934
 17.815, 39.09, 1.4175
 18.126, 39.09, 1.4422
 18.223, 39.08, 1.4499
 18.537, 39.09, 1.4748
 18.847, 39.09, 1.4994
 19.152, 39.09, 1.5237
 19.163, 39.08, 1.5246
 19.398, 39.08, 1.5432
 19.548, 39.08, 1.5552
 19.698, 39.08, 1.5671
 20.003, 39.09, 1.5913
 20.094, 39.08, 1.5985
 20.405, 39.08, 1.6233
 20.712, 39.08, 1.6476
 21.020, 39.08, 1.6720
 21.128, 39.09, 1.6807
 21.435, 39.08, 1.7051
 21.740, 39.08, 1.7293
 21.782, 39.09, 1.7326
 21.990, 39.09, 1.7492
